,taxon_id,hex_type,latitude,longitude
0,5165,1,-14.837666442685054,27.848059510397164
1,5165,1,-14.889238869494816,27.52149503712225
2,5165,1,-14.929393957994881,27.729081587567336
3,5165,1,-17.6082341174158,23.160779755918405
4,5165,1,-17.464572930061728,22.977085262121463
5,5165,1,-17.684200783448482,23.156309542343152
6,5165,1,-17.64334958565037,25.75198015166164
7,5165,1,-17.649001814924414,25.6392897901605
8,5165,1,-17.753029192534182,25.347214709464655
9,5165,1,-16.502629533377494,26.64290353525516
10,5165,1,-16.417321262479497,26.397794161712422
11,5165,1,-16.596156374131784,26.801602258147966
12,5165,1,-16.696794052164726,26.031547594999463
13,5165,1,-16.80558108890547,26.24586082040815
14,5165,1,-16.785560633810295,26.505872927404713
15,5165,1,-3.2667215844253685,31.439681005473478
16,5165,1,-2.9086301228742726,31.59765576873706
17,5165,1,-3.076717808446946,31.37601024718532
18,5165,1,-1.8989224314552935,31.202913710069616
19,5165,1,-1.8499317861837346,31.25520979975894
20,5165,1,-1.8231513946972784,31.45227038123513
21,5165,1,-4.821387817472954,32.11671316334143
22,5165,1,-4.934055146882788,32.11842283291104
23,5165,1,-4.8462414700269445,31.908904377566788
24,5165,1,-3.408821655948193,30.435829796865974
25,5165,1,-3.3652894227163985,30.37063782687353
26,5165,1,-3.308152106293726,30.55874209872622
27,5165,1,-3.6254557185404397,30.991846098018964
28,5165,1,-3.640676090747578,30.895739762511514
29,5165,1,-3.5282010939550745,30.65393088388809
30,5165,1,-3.2067224133367125,33.101219355101364
31,5165,1,-3.386909802701101,32.89089475716822
32,5165,1,-3.305013697318917,32.92474083340065
33,5165,1,-2.5082709179456346,30.25615299790459
34,5165,1,-2.4666202855438137,30.06215409887888
35,5165,1,-2.735602901318,30.366824214339392
36,5165,1,-15.708116466804276,26.814065539125295
37,5165,1,-15.715120234183203,27.19573870918268
38,5165,1,-15.741914087707016,27.162178852657384
39,5165,1,-15.929196468291943,26.784753258115522
40,5165,1,-16.051182849605567,26.79116486595451
41,5165,1,-16.041705082440373,26.437112572245248
42,5165,1,-15.450546536888975,26.32996238322949
43,5165,1,-15.546529615618192,26.491988781677676
